course,campus,class_number,component,auto_enrolls,days,times,location,waitlist,instructor,enrolled,limit
AVIATN 5101,,12259.0,B,,M W F,200P-0200,,,"C.Roby, S.Pritchard (SI)",1,5
AVIATN 5101,,12260.0,B,,M W F,230P-0230,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12261.0,B,,M W F,200P-0400,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12262.0,B,,M W F,230P-0430,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12263.0,B,,M W F,400P-0600,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12264.0,B,,M W F,430P-0630,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12265.0,B,,M W F,600P-0800,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12266.0,B,,T R S,730A-0930,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12267.0,B,,T R S,800A-1000,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12268.0,B,,T R S,930A-1130,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12269.0,B,,T R S,000A-1200,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12270.0,B,,T R S,200P-0200,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12271.0,B,,T R S,230P-0230,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12272.0,B,,T R S,200P-0400,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12273.0,B,,T R S,230P-0430,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12274.0,B,,T R S,400P-0600,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12275.0,B,,T R S,430P-0630,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12276.0,B,,T R S,600P-0800,,,"C.Roby, S.Pritchard (SI)",0,5
AVIATN 5101,,12370.0,B,,,,,,"{7W2} C.Roby, S.Pritchard (SI)",3,5
AVIATN 5102,,12042.0,B,,M W F,730A-0930,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12043.0,B,,M W F,800A-1000,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12277.0,B,,M W F,930A-1130,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12278.0,B,,M W F,000A-1200,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12279.0,B,,M W F,200P-0200,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12280.0,B,,M W F,230P-0230,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12281.0,B,,M W F,200P-0400,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12282.0,B,,M W F,230P-0430,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12283.0,B,,M W F,400P-0600,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12284.0,B,,M W F,430P-0630,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12285.0,B,,M W F,600P-0800,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12286.0,B,,T R S,730A-0930,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12287.0,B,,T R S,800A-1000,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12288.0,B,,T R S,930A-1130,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12289.0,B,,T R S,000A-1200,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12290.0,B,,T R S,200P-0200,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12291.0,B,,T R S,230P-0230,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12292.0,B,,T R S,200P-0400,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12293.0,B,,T R S,230P-0430,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12294.0,B,,T R S,400P-0600,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12295.0,B,,T R S,430P-0630,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12296.0,B,,T R S,600P-0800,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5102,,12297.0,B,,,,,,"{7W2} C.Roby, S.Pritchard (SI)",0,3
AVIATN 5200,,7778.0,L,,,,KT0255,,C.Roby,1,15
AVIATN 5201,,7735.0,B,,M W F,730A-0930,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12298.0,B,,M W F,800A-1000,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12299.0,B,,M W F,930A-1130,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12300.0,B,,M W F,000A-1200,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12301.0,B,,M W F,200P-0200,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12302.0,B,,M W F,230P-0230,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12303.0,B,,M W F,200P-0400,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12304.0,B,,M W F,230P-0430,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12305.0,B,,M W F,400P-0600,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12306.0,B,,M W F,430P-0630,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12307.0,B,,M W F,600P-0800,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12308.0,B,,T R S,730A-0930,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12309.0,B,,T R S,800A-1000,,,"C.Roby, S.Pritchard (SI)",1,3
AVIATN 5201,,12310.0,B,,T R S,930A-1130,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12311.0,B,,T R S,000A-1200,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12312.0,B,,T R S,200P-0200,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12313.0,B,,T R S,230P-0230,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12314.0,B,,T R S,200P-0400,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12315.0,B,,T R S,230P-0430,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12316.0,B,,T R S,400P-0600,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12317.0,B,,T R S,430P-0630,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12318.0,B,,T R S,600P-0800,,,"C.Roby, S.Pritchard (SI)",0,3
AVIATN 5201,,12319.0,B,,,,,,"{7W2} C.Roby, S.Pritchard (SI)",0,3
FDSCTE 1110,,32405.0,L,,M,020A,FL2020,,S.Kolluri,76,80
FDSCTE 1110,,33573.0,L,,,,ONLINE,,{7W2} L.Campbell,214,950
FDSCTE 1110,,32945.0,L,,,,ONLINE,,L.Campbell,261,950
FDSCTE 1120,,32406.0,L,,T R,150P,HH0180,,B.Waters,119,154
FDSCTE 1120,,33574.0,L,,,,ONLINE,,{7W2} B.Waters,324,550
FDSCTE 1120,,32407.0,L,,,,ONLINE,,B.Waters,250,950
FDSCTE 1120,,33186.0,L,,,,ONLINE,,B.Waters,445,550
FDSCTE 1140,,32502.0,L,,,,ONLINE,,M.Pohlschneider,185,500
FDSCTE 1140,,33572.0,L,,,,ONLINE,,{7W2} M.Pohlschneider,146,500
FDSCTE 1150,,33041.0,L,,,,ONLINE,,M.Pohlschneider,174,500
FDSCTE 1150,,33575.0,L,,,,ONLINE,,{7W2} M.Pohlschneider,131,500
FDSCTE 1200,,33911.0,L,,,,ONLINE,,L.Campbell,41,72
FDSCTE 1200,,33912.0,B,(33911),W,915A-1200,,,L.Campbell,17,24
FDSCTE 1200,,33913.0,B,(33911),W,215P-0500,,,L.Campbell,19,24
FDSCTE 1200,,37715.0,B,(33911),M,410P-0600,,,L.Campbell,5,24
FDSCTE 1200,,37155.0,L,,,,,,,0,20
FDSCTE 1200,,37156.0,B,(37155),,,,,,0,20
FDSCTE 2200,,33316.0,L,,,,ONLINE,,L.Campbell,65,850
FDSCTE 2300,,34212.0,L,,,,ONLINE,,S.Kolluri,250,252
FDSCTE 2300,,34249.0,L,,,,ONLINE,,S.Kolluri,16,24
FDSCTE 2400,,32408.0,L,,T R,300P,FS0118,,M.Pohlschneider,28,72
FDSCTE 2400,,35574.0,B,(32408),,,,,,0,24
FDSCTE 2400,,32409.0,B,(32408),W,100A-0145,FS0136,,M.Pohlschneider,15,24
FDSCTE 2400,,32410.0,B,(32408),W,200P-0445,FS0136,,M.Pohlschneider,13,24
FDSCTE 2410,,33042.0,L,,W F,130A,FS0118,,B.Waters,18,72
FDSCTE 3100,,37290.0,L,,W,220P-0410,FS0114,,H.Wang,28,40
FDSCTE 3400.01,,33993.0,L,,M   F,150P,FS0118,,D.Heldman,6,24
FDSCTE 3400.01,,33994.0,B,(33993),W,150P-0340,FS0118,,D.Heldman,6,24
FDSCTE 4191,,32411.0,W,,,,,,M.Pohlschneider,5,99
FDSCTE 4410,,32503.0,L,,,,ONLINE,,M.Pohlschneider,31,60
FDSCTE 4410,,35575.0,L,,,,,,,0,20
FDSCTE 4536,,32412.0,L,,M W F,240P,FS0118,,B.Waters,6,36
FDSCTE 4597.01,,32414.0,L,,T R,130A-1250,FS0118,,S.de Lamo Castellvi,20,50
FDSCTE 4597.02,,32413.0,L,,,,ONLINE,,F.Maleky,8,100
FDSCTE 5320,,32415.0,L,,T R,410P-0600,FS0118,,{7W2} M.Pascall,25,75
FDSCTE 5320,,32416.0,L,,T R,410P-0600,FS0118,,{7W2} M.Pascall,1,75
FDSCTE 5400,,32441.0,L,,T R,910A,FS0118,,V.Balasubramaniam,24,64
FDSCTE 5400,,32442.0,B,(32441),M,910A-1155,FS0114,,V.Balasubramaniam,16,32
FDSCTE 5400,,32443.0,B,(32441),M,300P-0545,FS0114,,V.Balasubramaniam,8,32
FDSCTE 5400,,32531.0,L,,T R,910A,FS0118,,V.Balasubramaniam,2,64
FDSCTE 5400,,32532.0,B,(32531),M,910A-1155,FS0114,,V.Balasubramaniam,0,32
FDSCTE 5400,,32533.0,B,(32531),M,300P-0545,FS0114,,V.Balasubramaniam,2,32
FDSCTE 5430,,32417.0,L,,T R,020A,FS0114,,H.Wang,22,40
FDSCTE 5430,,32464.0,B,(32417),T,130A-0210,FS0124,,H.Wang,6,20
FDSCTE 5430,,32950.0,B,(32417),T,130A-0210,FS0136,,H.Wang,16,20
FDSCTE 5430,,32418.0,L,,T R,020A,FS0114,,H.Wang,4,40
FDSCTE 5430,,32463.0,B,(32418),T,130A-0210,FS0136,,H.Wang,4,20
FDSCTE 5450,,32419.0,L,,W F,130A,FS0114,,M.Pascall,13,20
FDSCTE 5450,,32420.0,B,(32419),W,240P-0330,FS0124,,M.Pascall,13,20
FDSCTE 5450,,32421.0,L,,W F,130A,FS0114,,M.Pascall,0,20
FDSCTE 5450,,32422.0,B,(32421),W,240P-0330,FS0124,,M.Pascall,0,20
FDSCTE 5546,,32423.0,B,,M W,240P-0245,BI0315,,A.Yousef,20,20
FDSCTE 5546,,32424.0,B,,M W,240P-0245,BI0315,,A.Yousef,0,4
FDSCTE 5610,,32425.0,L,,W F,910A,FS0114,,L.Rodriguez-Saona,20,48
FDSCTE 5610,,32426.0,B,(32425),R,900A-1100,FS0136,,L.Rodriguez-Saona,0,15
FDSCTE 5610,,32461.0,B,(32425),R,120A-0120,FS0124,,L.Rodriguez-Saona,7,15
FDSCTE 5610,,32936.0,B,(32425),R,900A-1100,FS0124,,L.Rodriguez-Saona,1,15
FDSCTE 5610,,32937.0,B,(32425),R,120A-0120,FS0136,,L.Rodriguez-Saona,12,15
FDSCTE 5610,,32427.0,L,,W F,910A,FS0114,,L.Rodriguez-Saona,4,48
FDSCTE 5610,,32428.0,B,(32427),R,900A-1100,FS0136,,L.Rodriguez-Saona,0,5
FDSCTE 5610,,32462.0,B,(32427),R,120A-0120,FS0124,,L.Rodriguez-Saona,2,5
FDSCTE 5610,,32934.0,B,(32427),R,900A-1100,FS0124,,L.Rodriguez-Saona,0,5
FDSCTE 5610,,32935.0,B,(32427),R,120A-0120,FS0136,,L.Rodriguez-Saona,2,5
FDSCTE 5710,,32429.0,L,,W F,020A,FS0118,,S.Barringer,29,72
FDSCTE 5710,,32430.0,L,,W F,020A,FS0118,,S.Barringer,4,72
FDSCTE 5730,,32948.0,L,,T R,130P-0430,FS0114,,S.Barringer,9,30
FDSCTE 5730,,32947.0,L,,T R,130P-0430,FS0114,,S.Barringer,1,30
FDSCTE 5750,,33909.0,L,,M   F,300P,FS0118,,L.Rodriguez-Saona,11,30
FDSCTE 5750,,33910.0,B,(33909),T,900A-1130,FS0136,,L.Rodriguez-Saona,11,30
FDSCTE 5750,,33907.0,L,,M   F,300P,FS0118,,L.Rodriguez-Saona,0,30
FDSCTE 5750,,33908.0,B,(33907),T,900A-1130,FS0136,,L.Rodriguez-Saona,0,30
FDSCTE 7600,,35578.0,L,,M,240P-0240,KH0451,,"J.Cooperstone, E.Chatzakis, R.Kopec",15,30
FDSCTE 7600,,35579.0,B,(35578),W,240P-0240,KH0451,,"J.Cooperstone, E.Chatzakis, R.Kopec",15,30
FDSCTE 7620,,35584.0,L,,,,,,{7W1},0,25
FDSCTE 7650,,35582.0,L,,,,,,{7W1},0,0
FDSCTE 7670,,35583.0,L,,M W,910A-1100,FS0311,,{7W2} D.Peterson,14,20
FDSCTE 7680,,36930.0,L,,T,020A,FS0118,,"Y.Gizaw, O.Campanella",14,25
FDSCTE 7725,,34197.0,S,,F,220P-0340,ONLINE,,V.Balasubramaniam,0,0
FDSCTE 7727,,33860.0,S,,T,130A,ONLINE,,"G.Habing, A.Hoet, J.Lee, M.Weir, R.Scharff, S.Ilic",0,0
FDSCTE 8992,,33593.0,S,,W,410P,FS0118,,V.Balasubramaniam,12,60
FDSCTE 2300,LMA,34211.0,L,,,,ONLINE,,S.Kolluri,11,10
FDSCTE 1110,MNS,34224.0,L,,,,ONLINE,,{7W2} L.Campbell,9,10
FDSCTE 1140,MNS,34222.0,L,,,,ONLINE,,{7W2} M.Pohlschneider,5,5
FDSCTE 2300,MNS,34223.0,L,,,,ONLINE,,S.Kolluri,10,10
FDSCTE 1110,MRN,34225.0,L,,,,ONLINE,,{7W2} L.Campbell,9,10
FDSCTE 1120,MRN,34226.0,L,,,,ONLINE,,{7W2} B.Waters,12,12
FDSCTE 1140,MRN,36207.0,L,,,,ONLINE,,{7W2} M.Pohlschneider,9,11
FDSCTE 1150,MRN,36208.0,L,,,,ONLINE,,{7W2} M.Pohlschneider,9,10
FDSCTE 2300,NWK,34208.0,L,,,,ONLINE,,S.Kolluri,10,10
FDSCTE 1110,WST,36597.0,L,,,,ONLINE,,L.Campbell,3,10
FDSCTE 1110,WST,36598.0,L,,,,ONLINE,,{7W2} L.Campbell,4,10
FDSCTE 1120,WST,36599.0,L,,,,ONLINE,,B.Waters,4,10
FDSCTE 1120,WST,36600.0,L,,,,ONLINE,,{7W2} B.Waters,1,10
FDSCTE 1140,WST,36601.0,L,,,,ONLINE,,M.Pohlschneider,3,10
FDSCTE 1140,WST,36602.0,L,,,,ONLINE,,{7W2} M.Pohlschneider,3,10
FDSCTE 1150,WST,36603.0,L,,,,ONLINE,,M.Pohlschneider,1,10
FDSCTE 1150,WST,36604.0,L,,,,ONLINE,,{7W2} M.Pohlschneider,0,10
FDSCTE 2300,WST,34219.0,L,,,,ONLINE,,,0,25
JAPANSE 1101.51,,19983.0,L,,,,,,"S.Thomas, T.Kiyosue",19,23
JAPANSE 1101.61,,28828.0,L,,,,ONLINE,,"T.Kiyosue, S.Thomas",15,26
JAPANSE 1102.01,,19953.0,L,,MTWRF,800A,AP0386,,Y.Kuwai,13,19
JAPANSE 1102.01,,19954.0,L,,MTWRF,130A,EC0304,,Y.Kuwai,14,19
JAPANSE 1102.01,,19955.0,L,,MTWRF,020A,AP0386,,Y.Kuwai,10,19
JAPANSE 1102.01,,19956.0,L,,MTWRF,020A,EC0314,,Y.Kuwai,6,19
JAPANSE 1102.01,,26080.0,L,,MTWRF,130A,EC0202,,Y.Kuwai,11,19
JAPANSE 1102.51,,19984.0,L,,,,,,"S.Thomas, T.Kiyosue",13,10
JAPANSE 1102.61,,28829.0,L,,,,ONLINE,,"T.Kiyosue, S.Thomas",12,12
JAPANSE 1103.51,,19985.0,L,,,,,,"S.Thomas, T.Kiyosue",10,10
JAPANSE 1103.61,,28831.0,L,,,,ONLINE,,"T.Kiyosue, S.Thomas",15,12
JAPANSE 2102.01,,34855.0,L,,MTWRF,910A,DU0020,,S.Amioka,13,20
JAPANSE 2102.01,,19958.0,L,,MTWRF,130A,EC0206,,S.Amioka,7,20
JAPANSE 2102.61,,28416.0,L,,,,ONLINE,,"A.Terada, S.Amioka",6,12
JAPANSE 2231,,34936.0,L,,T R,355P-0515,HH0251,,A.Vorobiev,25,30
JAPANSE 2231,,19951.0,L,,W F,245P-0205,ML0191,,M.Nakayama,35,40
JAPANSE 2451,,19952.0,L,,T R,355P-0515,LZ0034,,N.Fukumori,45,45
JAPANSE 4101.61,,28417.0,L,,,,ONLINE,,"A.Terada, S.Amioka",4,10
JAPANSE 4102.01,,29685.0,L,,,,,,T.Kiyosue,0,0
JAPANSE 4102.01,,19959.0,L,,MTWRF,240P,EC0314,,T.Kiyosue,6,20
JAPANSE 4102.61,,28418.0,L,,,,ONLINE,,"A.Terada, S.Amioka",6,10
JAPANSE 4400,,29711.0,L,,W F,220P-0340,EL2004,,K.Moore,43,46
JAPANSE 5102.01,,19960.0,L,,TWRF,240P,EC0306,,A.Terada,7,20
JAPANSE 5102.01,,27527.0,L,,TWRF,240P,EC0306,,A.Terada,0,20
JAPANSE 5104.51,,19957.0,L,,T R,935A-1055,DE0265,,A.Terada,4,10
JAPANSE 5104.51,,19986.0,L,,T R,935A-1055,DE0265,,A.Terada,2,5
JAPANSE 5105,,36491.0,L,,W F,110A-1230,ONLINE,,A.Sigman,3,25
JAPANSE 5105,,36490.0,L,,W F,110A-1230,ONLINE,,A.Sigman,0,25
JAPANSE 5194,,37224.0,L,,W F,355P-0515,HH0159,,K.Moore,5,15
JAPANSE 5194,,37223.0,L,,W F,355P-0515,HH0159,,K.Moore,2,5
JAPANSE 5454,,34857.0,L,,T R,220P-0340,UH0074,,N.Fukumori,12,20
JAPANSE 5454,,34856.0,L,,T R,220P-0340,UH0074,,N.Fukumori,4,20
JAPANSE 5798.02,,28307.0,L,,,,,,E.Yuasa,0,0
JAPANSE 8500,,34858.0,L,,M,215P-0500,HH0045,,E.Yuasa,4,15
JAPANSE 8897,,27921.0,S,,W F,220P-0340,HH0045,,M.Nakayama,5,15
JAPANSE 1101.61,MNS,37329.0,L,,,,ONLINE,,"T.Kiyosue, S.Thomas",1,3
JAPANSE 1102.61,MNS,29206.0,L,,,,ONLINE,,"T.Kiyosue, S.Thomas",1,1
ENGR 1100.15,,8164.0,L,,,,ONLINE,,M.Knisley,34,50
ENGR 1100.15,,12790.0,L,,,,ONLINE,,N.Hoch,33,50
ENGR 1100.15,,12800.0,L,,,,ONLINE,,"A.Corlew, A.Beck, K.Walsh",32,50
ENGR 1100.15,,12801.0,L,,,,ONLINE,,"A.Kasmer, L.Hall, M.Sullivan",22,35
ENGR 1181.01,,8074.0,L,,W,800A-1005,HI0308,,"B.Braaten, M.Watters (GY), A.Kropas (GY), A.Carpenter (GY)",71,74
ENGR 1181.01,,8075.0,B,( 8074),M,800A-1005,HI0224,,M.Tahsin (TA),71,74
ENGR 1181.01,,8111.0,L,,W,020A-1225,HI0308,,"A.Jayakumar, H.Schwab (GY), C.Fenderbosch (GY), L.Yee (GY), A.Devnani (GY)",71,74
ENGR 1181.01,,8110.0,B,( 8111),M,020A-1225,HI0224,,M.Tahsin (TA),71,74
ENGR 1181.01,,8148.0,L,,W,240P-0245,HI0308,,"A.Jayakumar, T.Kanagasabai (GY), A.Singhal (GY), E.Ryan (GY), M.Burkhart (GY)",72,74
ENGR 1181.01,,8149.0,B,( 8148),M,240P-0245,HI0224,,M.Tahsin (TA),72,74
ENGR 1182.01,,8080.0,L,,M  R,800A,HI0308,,"S.Rahman, N.Nishanth (GY), C.Joseph (GY), A.Perez (GY), P.Palcisko (GY)",68,72
ENGR 1182.01,,8081.0,B,( 8080),T,935A-1055,HI0224,,S.Yeoh (TA),68,72
ENGR 1182.01,,8082.0,L,,T  F,800A,HI0308,,"A.Leonard, A.Kingsley (GY), J.McLachlan (GY), E.Detwiler (GY), M.Bugos (GY)",43,72
ENGR 1182.01,,8083.0,B,( 8082),W,800A-0920,HI0224,,S.Yeoh (TA),43,72
ENGR 1182.01,,8084.0,L,,T  F,800A,HI0224,,"P.Herak, E.Rohdy (GY), E.Summers (GY), S.Adusumilli (GY), R.Barr (GY)",68,72
ENGR 1182.01,,8085.0,B,( 8084),R,800A-0920,HI0224,,R.Zajec (TA),68,72
ENGR 1182.01,,8087.0,L,,M  R,910A,HI0308,,"D.Masel, J.Stolzer (GY), T.Dai (GY), S.Li (GY), R.O'Connor (GY)",72,72
ENGR 1182.01,,8086.0,B,( 8087),F,935A-1055,HI0224,,M.Melo de Lyra (TA),72,72
ENGR 1182.01,,8089.0,L,,T  F,910A,HI0308,,"E.Jergens, M.Wilson (GY), W.D'Souza (GY), C.Colombo (GY), P.Zhang (GY)",72,72
ENGR 1182.01,,8088.0,B,( 8089),W,935A-1055,HI0224,,A.Kling (TA),72,72
ENGR 1182.01,,8091.0,L,,T  F,020A,HI0308,,"C.Vines, J.Slywczak (GY), C.Heil (GY), B.Hsiao (GY), A.Lambert (GY)",70,72
ENGR 1182.01,,8090.0,B,( 8091),R,935A-1055,HI0224,,A.Kling (TA),70,72
ENGR 1182.01,,8093.0,L,,M  R,130A,HI0308,,"P.Herak, E.Ojeda (GY), A.Robles (GY), D.Negi (GY), E.Smalley (GY)",72,72
ENGR 1182.01,,8092.0,B,( 8093),F,110A-1230,HI0224,,J.Hall (TA),72,72
ENGR 1182.01,,8095.0,L,,T  F,130A,HI0308,,"C.Vines, C.Austin (GY), Q.Kearney (GY), N.Green (GY), C.Gibbs (GY)",71,71
ENGR 1182.01,,8094.0,B,( 8095),R,110A-1230,HI0224,,"A.Kling (TA), B.Weiss (GY)",71,71
ENGR 1182.01,,8096.0,L,,T  F,240P,HI0224,,"B.Braaten, C.Beineke (GY), K.Kiratikosolrak (GY), R.Wahsum (GY), Q.Kearney (GY)",71,72
ENGR 1182.01,,8097.0,B,( 8096),R,245P-0205,HI0224,,R.Zajec (TA),71,72
ENGR 1182.01,,8098.0,L,,M  R,150P,HI0308,,"C.Vines, S.Butalia (GY), N.Cox (GY), A.Austin (GY), N.Nataraj (GY)",71,72
ENGR 1182.01,,8099.0,B,( 8098),T,220P-0340,HI0224,,"S.Youssef (TA), G.French (GY)",71,72
ENGR 1182.01,,8100.0,L,,T  F,150P,HI0308,,"C.Ratcliff, E.Kebe (GY), N.Nataraj (GY), K.Schaumleffel-Weaver (GY), J.Prete (GY)",72,72
ENGR 1182.01,,8101.0,B,( 8100),W,245P-0205,HI0224,,M.Melo de Lyra (TA),72,72
ENGR 1182.01,,8102.0,L,,M  R,300P,HI0308,,"B.Kotla, A.Thokala (GY), A.Anikina (GY), C.Haga (GY), D.Avalakki Vinay (GY), A.Chakravarty (GY)",72,72
ENGR 1182.01,,8103.0,B,( 8102),W,220P-0340,HI0224,,"G.French (GY), J.Ramirez Orrego (TA)",72,72
ENGR 1182.01,,8150.0,L,,T  F,300P,HI0308,,"P.Herak, L.Peters (GY), E.Summers (GY), O.Briganti (GY), J.Bandsuh (GY)",73,72
ENGR 1182.01,,8151.0,B,( 8150),R,220P-0340,HI0224,,"R.Zajec (TA), B.Weiss (GY)",73,72
ENGR 1182.01,,8156.0,L,,M,300P,HI0224,,"J.Thomas, W.Price (GY), A.Muralidhar (GY), N.Freyhof (GY), L.Roberts (GY)",72,72
ENGR 1182.01,,8157.0,B,( 8156),F,220P-0340,HI0224,,J.Hall (TA),72,72
ENGR 1182.01,,8159.0,L,,M  R,410P,HI0308,,"C.Vines, E.Vargo (GY), K.Park (GY), R.Black (GY), J.Kang (GY)",72,72
ENGR 1182.01,,8160.0,B,( 8159),T,355P-0515,HI0224,,S.Youssef (TA),72,72
ENGR 1182.01,,8166.0,L,,T  F,410P,HI0308,,"E.Jergens, N.Lucci (GY), A.Anikina (GY), K.Thambyrajah (GY)",70,72
ENGR 1182.01,,8167.0,B,( 8166),W,355P-0515,HI0224,,J.Ramirez Orrego (TA),70,72
ENGR 1182.01,,8199.0,L,,M,410P,HI0224,,"J.Schrock, T.Tong (GY), D.Negi (GY), S.Khafagy (GY), S.Kulkarni (GY)",72,72
ENGR 1182.01,,8200.0,B,( 8199),R,355P-0515,HI0224,,S.Yeoh (TA),72,72
ENGR 1182.01,,12698.0,L,,M  R,520P,HI0308,,"J.Schrock, S.Sarkar (GY), A.Staun (GY), G.Xiao (GY), E.Masters (GY)",71,72
ENGR 1182.01,,12699.0,B,(12698),W,530P-0650,HI0224,,J.Ramirez Orrego (TA),71,72
ENGR 1182.01,,37066.0,L,,T  F,520P,HI0308,,"E.Jergens, K.Adhikari (GY), S.Balakrishnan (GY), B.Allar (GY), C.Johnson (GY)",72,72
ENGR 1182.01,,37067.0,B,(37066),R,530P-0650,HI0224,,P.Singh (TA),72,72
ENGR 1182.01,,37068.0,L,,M,520P,HI0224,,"J.Thomas, J.Gaudio (GY), B.Shaffer (GY), M.Robey (GY), D.Doren (GY)",70,72
ENGR 1182.01,,37069.0,B,(37068),F,355P-0515,HI0224,,P.Singh (TA),70,72
ENGR 1182.01,,37070.0,L,,M W,630P,HI0308,,"J.Thomas, A.Chakravarty (GY), J.Knepfle (GY), H.Schwab (GY), D.Patel (GY)",69,72
ENGR 1182.01,,37071.0,B,(37070),R,705P-0825,HI0224,,P.Singh (TA),69,72
ENGR 1182.01,,37072.0,L,,M,630P,HI0224,,"J.Schrock, J.Yang (GY), D.Mundo (GY), T.Wu (GY)",71,72
ENGR 1182.01,,37073.0,B,(37072),T,530P-0650,HI0224,,J.Hall (TA),71,72
ENGR 1182.02,,8076.0,L,,M  R,020A,HI0308,,"B.Braaten, K.Zhang (GY), E.Schroer (GY), C.Wang (GY), Z.Zafar (GY)",62,72
ENGR 1182.02,,8077.0,B,( 8076),T,110A-1230,HI0224,,S.Youssef (TA),62,72
ENGR 1182.02,,8078.0,L,,T  F,240P,HI0308,,"C.Ratcliff, O.Scavuzzo (GY), O.Lara (GY), A.Asch (GY), E.Smalley (GY)",65,72
ENGR 1182.02,,8079.0,B,( 8078),W,110A-1230,HI0224,,A.Kling (TA),65,72
ENGR 1186.01,,8109.0,L,,T,110A-1230,HI0346,,"R.O'Connor (GY), A.Leonard",16,36
ENGR 1187,,8073.0,L,,W,110A-1230,ONLINE,,"E.Casale, A.Mohammed (GY)",14,36
ENGR 1188,,8054.0,B,( 8105),T,130A,,,C.Vines,1,1
ENGR 1188,,8105.0,L,,F,130A,,,C.Vines,1,1
ENGR 1188,,38254.0,B,,F,410P,,,E.Jergens,1,1
ENGR 1188,,38255.0,L,,T,410P,,,E.Jergens,1,1
ENGR 1195,,8147.0,L,,,,,,,0,36
ENGR 1195.02,,11793.0,L,,,,,,,0,30
ENGR 1196,,8146.0,L,,,,,,,0,63
ENGR 1197.01,,8175.0,L,,,,,,{7W2},0,0
